cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,city_currentconfirmedCount,increasedconfirmedCount,label
金山区,Jinshan District,310116,4,0,4,0,2021/1/22,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/21,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/20,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/19,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/18,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/17,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/16,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/15,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/14,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/13,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/12,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/11,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/10,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/9,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/8,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/7,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/6,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/5,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/4,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/3,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/2,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2021/1/1,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/31,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/30,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/29,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/28,0,0,0
金山区,Jinshan District,310116,4,0,4,0,2020/12/27,0,0,0
